1,1,9.999000099990002E-5,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1253,1,0.1252874712528747,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1253,2,0.1252874712528747,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1254,1,0.12538746125387462,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1254,2,0.12538746125387462,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1255,1,0.1254874512548745,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1255,2,0.1254874512548745,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1256,1,0.1255874412558744,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1256,2,0.1255874412558744,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1257,1,0.12568743125687432,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1257,2,0.12568743125687432,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1258,1,0.1257874212578742,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1258,2,0.1257874212578742,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1259,1,0.12588741125887412,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1259,2,0.12588741125887412,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1260,1,0.125987401259874,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1260,2,0.125987401259874,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1261,1,0.1260873912608739,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1261,2,0.1260873912608739,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1262,1,0.12618738126187382,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1262,2,0.12618738126187382,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1263,1,0.1262873712628737,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1263,2,0.1262873712628737,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1264,1,0.12638736126387362,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1264,2,0.12638736126387362,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1265,1,0.1264873512648735,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1265,2,0.1264873512648735,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1266,1,0.12658734126587343,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1266,2,0.12658734126587343,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1267,1,0.12668733126687332,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1267,2,0.12668733126687332,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1268,1,0.1267873212678732,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1268,2,0.1267873212678732,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1269,1,0.12688731126887312,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1269,2,0.12688731126887312,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1270,1,0.126987301269873,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1270,2,0.126987301269873,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1271,1,0.12708729127087293,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1271,2,0.12708729127087293,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1272,1,0.12718728127187282,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1272,2,0.12718728127187282,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1273,1,0.1272872712728727,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1273,2,0.1272872712728727,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1274,1,0.12738726127387262,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1274,2,0.12738726127387262,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1275,1,0.1274872512748725,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1275,2,0.1274872512748725,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1276,1,0.12758724127587243,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1276,2,0.12758724127587243,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1277,1,0.12768723127687232,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1277,2,0.12768723127687232,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1278,1,0.1277872212778722,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1278,2,0.1277872212778722,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1279,1,0.12788721127887212,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1279,2,0.12788721127887212,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1280,1,0.127987201279872,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1280,2,0.127987201279872,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1281,1,0.12808719128087193,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1281,2,0.12808719128087193,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1282,1,0.12818718128187181,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1282,2,0.12818718128187181,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1283,1,0.1282871712828717,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1283,2,0.1282871712828717,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1284,1,0.12838716128387162,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1284,2,0.12838716128387162,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1285,1,0.1284871512848715,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1285,2,0.1284871512848715,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1286,1,0.12858714128587143,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1286,2,0.12858714128587143,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1287,1,0.12868713128687131,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1287,2,0.12868713128687131,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1288,1,0.1287871212878712,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1288,2,0.1287871212878712,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1289,1,0.12888711128887112,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1289,2,0.12888711128887112,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1290,1,0.128987101289871,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1290,2,0.128987101289871,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1291,1,0.12908709129087093,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1291,2,0.12908709129087093,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1292,1,0.12918708129187081,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1292,2,0.12918708129187081,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1293,1,0.1292870712928707,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1293,2,0.1292870712928707,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1294,1,0.12938706129387062,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1294,2,0.12938706129387062,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1295,1,0.1294870512948705,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1295,2,0.1294870512948705,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1296,1,0.12958704129587043,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1296,2,0.12958704129587043,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1297,1,0.12968703129687031,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1297,2,0.12968703129687031,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1298,1,0.1297870212978702,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1298,2,0.1297870212978702,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1299,1,0.12988701129887012,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1299,2,0.12988701129887012,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1300,1,0.12998700129987,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1300,2,0.12998700129987,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1301,1,0.13008699130086993,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1301,2,0.13008699130086993,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1302,1,0.13018698130186981,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1302,2,0.13018698130186981,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1303,1,0.1302869713028697,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1303,2,0.1302869713028697,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1304,1,0.13038696130386962,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1304,2,0.13038696130386962,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1305,1,0.1304869513048695,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1305,2,0.1304869513048695,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1306,1,0.13058694130586943,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1306,2,0.13058694130586943,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1307,1,0.13068693130686931,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1307,2,0.13068693130686931,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1308,1,0.1307869213078692,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1308,2,0.1307869213078692,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1309,1,0.13088691130886912,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1309,2,0.13088691130886912,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1310,1,0.130986901309869,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1310,2,0.130986901309869,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1311,1,0.13108689131086892,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1311,2,0.13108689131086892,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1312,1,0.1311868813118688,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1312,2,0.1311868813118688,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1313,1,0.1312868713128687,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1313,2,0.1312868713128687,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1314,1,0.13138686131386862,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1314,2,0.13138686131386862,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1315,1,0.1314868513148685,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1315,2,0.1314868513148685,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1316,1,0.13158684131586842,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1316,2,0.13158684131586842,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1317,1,0.1316868313168683,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1317,2,0.1316868313168683,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1318,1,0.1317868213178682,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1318,2,0.1317868213178682,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1319,1,0.13188681131886812,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1319,2,0.13188681131886812,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1320,1,0.131986801319868,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1320,2,0.131986801319868,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1321,1,0.13208679132086792,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1321,2,0.13208679132086792,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1322,1,0.1321867813218678,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1322,2,0.1321867813218678,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1323,1,0.1322867713228677,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1323,2,0.1322867713228677,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1324,1,0.13238676132386762,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1324,2,0.13238676132386762,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1325,1,0.1324867513248675,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1325,2,0.1324867513248675,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1326,1,0.13258674132586742,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1326,2,0.13258674132586742,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1327,1,0.1326867313268673,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1327,2,0.1326867313268673,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1328,1,0.1327867213278672,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1328,2,0.1327867213278672,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1329,1,0.13288671132886712,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1329,2,0.13288671132886712,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1330,1,0.132986701329867,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1330,2,0.132986701329867,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1331,1,0.13308669133086692,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1331,2,0.13308669133086692,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1332,1,0.1331866813318668,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1332,2,0.1331866813318668,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1333,1,0.1332866713328667,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1333,2,0.1332866713328667,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1334,1,0.13338666133386662,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1334,2,0.13338666133386662,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1335,1,0.1334866513348665,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1335,2,0.1334866513348665,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1336,1,0.13358664133586642,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1336,2,0.13358664133586642,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1337,1,0.1336866313368663,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: None, Functionality: Farming])
1337,2,0.1336866313368663,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1338,1,0.1337866213378662,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1338,2,0.1337866213378662,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1339,1,0.13388661133886612,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1339,2,0.13388661133886612,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1340,1,0.133986601339866,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1340,2,0.133986601339866,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1341,1,0.13408659134086592,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1341,2,0.13408659134086592,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1342,1,0.1341865813418658,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
1342,2,0.1341865813418658,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1343,1,0.1342865713428657,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1343,2,0.1342865713428657,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
1344,1,0.13438656134386562,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Medium, Functionality: Farming])
1344,2,0.13438656134386562,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
